title,date,make,year,price,VIN,fuel,odometer,cylinders,paint color,title status,transmission,type,link
2008 Honda Civic 4 Door - Low Miles - Very Clean,2017-09-03 22:12,honda,2008,$5995,NOT INDICATED,gas,105000,4 cylinders,red,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/2008-honda-civic-4-door-low/6289919839.html
"2008 VOLKSWAGEN JETTA - ONLY 89,000 MILES",2017-09-03 22:12,volkswagen,2008,$5995,NOT INDICATED,gas,89000,4 cylinders,black,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/2008-volkswagen-jetta/6289835152.html
2005 Lexus RX 330 - Low Miles,2017-09-03 22:12,lexus,2005,$7995,NOT INDICATED,gas,120000,NOT INDICATED,black,clean,automatic,SUV,https://sacramento.craigslist.org/cto/d/2005-lexus-rx-330-low-miles/6289141564.html
"2003 Honda Pilot EXL  4x4- Only 104,000 Miles - Super Clean",2017-09-03 22:12,honda,2003,$6900,NOT INDICATED,gas,104000,NOT INDICATED,silver,clean,automatic,SUV,https://sacramento.craigslist.org/cto/d/2003-honda-pilot-exl-4x4/6283627094.html
01 Acura CL TYPE S MILES 121K Super clean) in/out REBUILT TRANSMISSION,2017-09-03 22:11,acura,2001,$4800,NOT INDICATED,gas,121000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/01-acura-cl-type-miles-121k/6274494842.html
2004 Dodge Ram 1500! Clean!,2017-09-03 22:09,NOT INDICATED,2004,$4400,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2004-dodge-ram-1500-clean/6254846112.html
2006 Ford Freestar cargo van trade,2017-09-03 22:07,ford,2006,$3500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2006-ford-freestar-cargo-van/6283477408.html
Ford Mustang gt OBO smogged 8/22/17 trades welcome,2017-09-03 22:06,Ford,2017,$5600,NOT INDICATED,gas,NOT INDICATED,8 cylinders,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/ford-mustang-gt-obo/6274351119.html
1998 Crown Victoria,2017-09-03 22:06,NOT INDICATED,1998,$800,2fafp71w3wx173450,gas,225000,8 cylinders,white,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/1998-crown-victoria/6292212397.html
2002 FORD TAURUS - CLEAN TITLE - SMOGGED - $1450,2017-09-03 22:05,ford,2002,$1450,1FAFP55212G251493,gas,138000,6 cylinders,brown,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2002-ford-taurus-clean-title/6279995533.html
